court,case_num,use_type,apt_name,household,addr,area,eval_price,low_price,eval_per,last_price,bid_date,dday,view_count,special_right
서울중앙지방법원,2025타경102803,아파트,흑석한강푸르지오,863.0,서울특별시 동작구 흑석동 336 흑석한강푸르지오 108동 13층1302호,42.4m² (12.8평),8억7000만원,6억9600만원,104%,9억88만원,2026-05-06,D--83,11.2k,"지분매각, 건물지분"
서울중앙지방법원,2025타경100433,다세대,효성주택,1656.0,"서울특별시 동작구 성대로12길 51, 4층402호 (상도동,효성주택)",50.79m² (15.4평),3억5000만원,1억7920만원,94%,3억3000만원,2026-05-07,D--82,15.3k,"재매각, 특별매각조건, 선순위임차인, 임차권등기"
서울서부지방법원,2025타경51522,아파트,독립문극동아파트,1300.0,서울특별시 서대문구 현저동 200 독립문극동아파트 106동 11층1101호,59.58m² (18평),10억4000만원,6억6560만원,68%,7억999만원,2026-05-12,D--77,7.5k,선순위임차인
서울서부지방법원,2024타경62430,단독주택,,4300.0,서울특별시 서대문구 독립문로8길 12,294.25m² (89평),62억2891만1770원,25억5136만2000원,41%,25억5136만2000원,2026-05-12,D--77,8.6k,
서울중앙지방법원,2025타경102859,아파트,삼익양재빌라,980.0,서울특별시 서초구 양재동 91 삼익양재빌라  8층802호,162.54m² (49.2평),15억7000만원,6억4307만2000원,42%,6억6000만원,2026-05-13,D--76,14.1k,선순위임차인
서울동부지방법원,2025타경50821,아파트,래미안옥수리버젠,1511.0,"서울특별시 성동구 매봉길 15, 112동 16층1604호 (옥수동,래미안옥수리버젠)",67.06m² (20.3평),16억200만원,10억2528만원,64%,10억2528만원,2026-05-18,D--71,14.4k,"지분매각, 건물지분"
서울서부지방법원,2024타경61277,단독주택,,4300.0,서울특별시 서대문구 북아현로22나길 37-8,123.08m² (37.2평),9억526만4840원,4억6349만6000원,59%,5억3800만원,2026-05-19,D--70,12.6k,
서울서부지방법원,2024타경2544,단독주택,,4300.0,서울특별시 서대문구 성산로24길 42,181.5m² (54.9평),13억7703만원,7억503만9000원,51%,7억503만9000원,2026-05-19,D--70,15.1k,"형식적경매, 선순위임차인, 선순위가처분"
서울중앙지방법원,2025타경102377,다세대,에이동,,서울특별시 동작구 노량진동 232-6 에이동 2층202호,49.8m² (15.1평),1억8285만7000원,1억4628만6000원,80%,1억4628만6000원,2026-05-21,D--68,7.7k,"건물지분, 선순위임차인"
서울남부지방법원,2024타경105680,다세대,코쿤빌,372.0,"서울특별시 영등포구 선유로53길 20, 제5층 제502호 (양평동4가, 코쿤빌)",14.77m² (4.5평),1억2100만원,6195만2000원,67%,8100만원,2026-06-02,D--56,9.0k,"재매각, 특별매각조건, 대항력포기, 임차권등기, 선순위임차인"
서울남부지방법원,2024타경130570,아파트,보라매두산위브,164.0,"서울특별시 영등포구 여의대방로9길 5, 제102동 제4층 제405호 (신길동, 보라매두산위브)",136.74m² (41.4평),13억6000만원,5억5705만6000원,44%,6억100만원,2026-06-04,D--54,18.6k,"재매각, 특별매각조건, 선순위임차인"
서울동부지방법원,2024타경59616,연립,가동,364.0,"서울특별시 성동구 서울숲2길 30, 가동 1층102호",49.66m² (15평),4억3950만원,3억5160만원,92%,4억555만5500원,2026-06-15,D--43,8.5k,"지분매각, 건물지분"
서울동부지방법원,2023타경55266,사무실,토브하우스,12032.0,"서울특별시 강동구 천호대로188길 8, 3층302호 (둔촌동,토브하우스)",50.42m² (15.2평),2억6000만원,1786만7000원,7%,1786만7000원,2026-06-15,D--43,7.9k,"재매각, 선순위임차인"
서울서부지방법원,2024타경58202,아파트,쓰리알유시티아파트,,"서울특별시 서대문구 신촌로 1, 6층612호 (창천동,쓰리알유시티아파트)",16.84m² (5.1평),2억3000만원,1975만7000원,10%,2399만원,2026-06-16,D--42,7.9k,"선순위임차인, 임차권등기"
서울서부지방법원,2025타경51835,아파트,용산파크자이  디-,310.0,서울특별시 용산구 한강로1가 50-1 용산파크자이  6층디-633호,52.58m² (15.9평),6억2800만원,4억192만원,64%,4억192만원,2026-06-16,D--42,12.0k,
서울서부지방법원,2024타경2162,단독주택,소담헌,1121.0,"서울특별시 마포구 월드컵로8길 40-10 (서교동,소담헌)",226.74m² (68.6평),24억208만8840원,11억2096만5000원,56%,13억4000만원,2026-06-16,D--42,9.9k,위반건축물
서울중앙지방법원,2024타경121266,다세대,피카소,848.0,"서울특별시 서초구 강남대로30길 32-18, 4층402호 (양재동,피카소)",29.81m² (9평),5억9900만원,5145만4000원,10%,6100만원,2026-06-18,D--40,10.7k,"선순위임차인, 임차권등기"
서울서부지방법원,2024타경53306,다가구,,3885.0,서울특별시 마포구 신촌로24길 25,162.6m² (49.2평),26억4046만5400원,13억5191만8000원,59%,15억6000만원,2026-06-23,D--35,9.1k,
서울서부지방법원,2025타경1678,아파트,한가람아파트,2036.0,서울특별시 용산구 이촌동 404 한가람아파트 213동 1층102호,71.45m² (21.6평),21억1000만원,16억8800만원,106%,22억3652만4000원,2026-06-23,D--35,9.3k,"재매각, 임차권등기"
성남지원,2024타경71157,아파트,포웰시티푸르지오라포레,790.0,"경기도 하남시 감일백제로 20, 301동 21층2101호 (감이동,포웰시티푸르지오라포레)",99.64m² (30.1평),13억1000만원,6억4190만원,56%,7억3100만원,2026-06-29,D--29,11.4k,"재매각, 선순위임차인"
서울중앙지방법원,2025타경103154,다세대,더포레스트,2044.0,서울특별시 동작구 상도동 209-9 더포레스트  4층401호,32.26m² (9.8평),2억8700만원,1억1755만5200원,169%,4억8389만8726원,2026-06-30,D--28,9.5k,"선순위전세권, 선순위임차인, 위반건축물, 임차권등기"
